TOWNCODE,COUNTYNAME,TOWNNAME,median_household_income,gini_index,poverty_family_below_poverty_level_rate,poverty_family_below_poverty_level,tax_household_count
10015020,花蓮縣,鳳林鎮,369.0903837263061,0.45229909945735136,0.03614992237746729,163,4326.0
10015030,花蓮縣,玉里鎮,372.9308219178082,0.4813115617373469,0.054785732614831925,427,8760.0
10015040,花蓮縣,新城鄉,418.1681316434996,0.455782066682535,0.05356831268539522,307,9784.0
10015050,花蓮縣,吉安鄉,410.7636683910096,0.4717694211368613,0.019045064377682403,568,44848.0
10015060,花蓮縣,壽豐鄉,357.8055796472969,0.48822240725872634,0.04484052532833021,239,6918.0
10015070,花蓮縣,光復鄉,351.7818984547461,0.4461427174870222,0.038803556992724336,192,4530.0
10015080,花蓮縣,豐濱鄉,321.3654135338346,0.45064529377369766,0.035191956124314444,77,1330.0
10015090,花蓮縣,瑞穗鄉,350.9359658484525,0.49185685805427726,0.0367561260210035,189,3748.0
10015100,花蓮縣,富里鄉,331.01119157340355,0.455208552789365,0.044977511244377814,180,3038.0
10015110,花蓮縣,秀林鄉,363.0037676609105,0.41890725458057215,0.08901691135476678,479,6370.0
10015120,花蓮縣,萬榮鄉,332.4623966942149,0.403554116522738,0.09021543985637342,201,2420.0
10015130,花蓮縣,卓溪鄉,377.77107279693485,0.3653927982172251,0.08228980322003578,184,2088.0
10016010,澎湖縣,馬公市,548.4214659685864,0.44064349406762815,0.017068134893324156,372,35144.0
10016020,澎湖縣,湖西鄉,495.9646859525671,0.40737797453725577,0.02574120891749023,112,7674.0
10016030,澎湖縣,白沙鄉,472.35526315789474,0.42459796351664025,0.023359580052493438,89,3952.0
10016040,澎湖縣,西嶼鄉,471.74727891156465,0.44736840700552605,0.032327586206896554,90,2940.0
10016050,澎湖縣,望安鄉,489.4533613445378,0.42600941726851427,0.01887705711519845,39,2380.0
10016060,澎湖縣,七美鄉,520.7978723404256,0.4830568242277053,0.021517553793884484,38,1598.0
10017010,基隆市,中正區,388.4320865445804,0.4782945226891904,0.024562513177313935,466,28286.0
10017020,基隆市,七堵區,388.6137595129376,0.4932053395405221,0.016870624968524952,335,32850.0
10017030,基隆市,暖暖區,396.55033869602033,0.49454643653708635,0.018885741265344664,280,23620.0
10017040,基隆市,仁愛區,421.25133409150556,0.47732706896436633,0.01904761904761905,326,22862.0
10017050,基隆市,中山區,386.2462772934187,0.4676199382207819,0.024847501259163914,444,25922.0
10017060,基隆市,安樂區,440.7158140824979,0.4888480693917647,0.014402899656619611,453,50474.0
10017070,基隆市,信義區,426.10094904189083,0.47891758431763903,0.011933780215315864,235,33086.0
10018010,新竹市,東區,803.021188395874,0.5559879995240534,0.008961400086978296,680,134366.0
10018020,新竹市,北區,512.0190894604045,0.5571394879664294,0.016190023752969122,852,90364.0
10018030,新竹市,香山區,482.291384563304,0.5262819952202887,0.017768837482189256,424,47264.0
10020010,嘉義市,東區,469.484567612271,0.5075344040688115,0.01053340283207367,485,64086.0
10020020,嘉義市,西區,441.5414555121708,0.4933751634070975,0.019010354183200753,1030,72222.0
63000010,臺北市,松山區,634.4824213700991,0.6136009034301816,0.010863851410548448,806,139260.0
63000020,臺北市,信義區,549.0519476966846,0.6237303554953044,0.01805090379959608,1439,146224.0
63000030,臺北市,大安區,697.170567302442,0.6396383320133147,0.011388973697114361,1231,212444.0
63000040,臺北市,中山區,569.2835157662181,0.6313704323683865,0.015233378358096954,1421,159328.0
