TOWNCODE,COUNTYNAME,TOWNNAME,郵遞區號,行政區,electricity_consume_residential,electricity_consume_commercial,electricity_consume_total,electricity_price_industrial,electricity_price_commercial
10008070.0,南投縣,鹿谷鄉,558,鹿谷,2370.294213843486,12864.913746173504,50369975.4,0.08748538011695907,0.10959064327485381
10010160.0,嘉義縣,番路鄉,602,番路,2495.6820867199276,12506.823640828019,41029730.2,0.08748538011695907,0.10959064327485381
10010150.0,嘉義縣,梅山鄉,603,梅山,2362.569360766684,9996.476598722833,58413395.8,0.08748538011695907,0.10959064327485381
10010140.0,嘉義縣,竹崎鄉,604,竹崎,2451.291745350616,9134.54730922062,98906545.6,0.08748538011695907,0.10959064327485381
10010180.0,嘉義縣,阿里山鄉,605,阿里山,3452.747397062815,15582.599735662026,20659173.8,0.08748538011695907,0.10959064327485381
10010130.0,嘉義縣,中埔鄉,606,中埔,2918.3382306382136,10543.128883823683,148919546.0,0.08748538011695907,0.10959064327485381
10010170.0,嘉義縣,大埔鄉,607,大埔,2039.4652382210322,13679.289701701517,9901694.6,0.08748538011695907,0.10959064327485381
10010120.0,嘉義縣,水上鄉,608,水上,2872.458472427622,14213.379135653591,248130125.6,0.08748538011695907,0.10959064327485381
10010110.0,嘉義縣,鹿草鄉,611,鹿草,2040.926518070911,13934.542704811756,71703550.6,0.08748538011695907,0.10959064327485381
10010010.0,嘉義縣,太保市,612,太保,2751.6914253255386,13574.569961347064,329216844.4,0.08748538011695907,0.10959064327485381
10010020.0,嘉義縣,朴子市,613,朴子,2706.6055407028857,9774.754929762954,259656272.6,0.08748538011695907,0.10959064327485381
10010090.0,嘉義縣,東石鄉,614,東石,2455.9957065781155,9772.425720032901,87209000.6,0.08748538011695907,0.10959064327485381
10010080.0,嘉義縣,六腳鄉,615,六腳,1901.3181043776726,9660.53589099257,70496509.2,0.08748538011695907,0.10959064327485381
10010070.0,嘉義縣,新港鄉,616,新港,2325.3059042022664,9840.093384469006,222149250.2,0.08748538011695907,0.10959064327485381
10010050.0,嘉義縣,民雄鄉,621,民雄,2862.3552364999555,12242.079894665736,747124166.6,0.08748538011695907,0.10959064327485381
10010040.0,嘉義縣,大林鎮,622,大林,2714.7447910569895,11984.864394705044,333424987.0,0.08748538011695907,0.10959064327485381
10010060.0,嘉義縣,溪口鄉,623,溪口,2125.7284164380226,8948.217739867305,58427867.0,0.08748538011695907,0.10959064327485381
10010100.0,嘉義縣,義竹鄉,624,義竹,2036.0859603772594,8908.331169336278,90946559.8,0.08748538011695907,0.10959064327485381
10010030.0,嘉義縣,布袋鎮,625,布袋,2356.2345502284215,9717.057435622468,107816603.4,0.08748538011695907,0.10959064327485381
10009020.0,雲林縣,斗南鎮,630,斗南,2754.541169227781,12783.778701240095,193948505.0,0.08748538011695907,0.10959064327485381
