TOWNCODE,COUNTYNAME,TOWNNAME,education_high_school_graduate,education_less_than_high_school,education_college,education_college_rate,education_high_school_graduate_rate,education_less_than_high_school_rate,employ_rate
10014130,臺東縣,延平鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014140,臺東縣,金峰鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014150,臺東縣,達仁鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10014160,臺東縣,蘭嶼鄉,54083.0,63289.0,42736.0,0.2669198291153471,0.33779074124965647,0.39528942963499636,0.9633333333333333
10015010,花蓮縣,花蓮市,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015020,花蓮縣,鳳林鎮,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015030,花蓮縣,玉里鎮,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015040,花蓮縣,新城鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015050,花蓮縣,吉安鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015060,花蓮縣,壽豐鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015070,花蓮縣,光復鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015080,花蓮縣,豐濱鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015090,花蓮縣,瑞穗鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015100,花蓮縣,富里鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015110,花蓮縣,秀林鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015120,花蓮縣,萬榮鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10015130,花蓮縣,卓溪鄉,92610.0,82664.0,82769.0,0.3207566180830327,0.35889367275996636,0.32034970915700095,0.9634166666666667
10016010,澎湖縣,馬公市,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10016020,澎湖縣,湖西鄉,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10016030,澎湖縣,白沙鄉,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10016040,澎湖縣,西嶼鄉,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10016050,澎湖縣,望安鄉,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10016060,澎湖縣,七美鄉,22369.0,25770.0,20944.0,0.30317154726922685,0.3237989085592693,0.37302954417150386,0.9624999999999999
10017010,基隆市,中正區,107293.0,86532.0,128501.0,0.39866780836792565,0.33287106842141184,0.2684611232106625,0.9615
